sheet_name,owner_name,sheet_team_name,team_key,excel_row,player_name,raw_2025,status,years_remaining_2026
Justin,Justin,BeastMode,470.l.84346.t.3,11,Ja'Maar Chase,1,EXPIRED_QO_CANDIDATE,0
Michael,Michael,temp name,470.l.84346.t.12,3,Omarion Hampton,4,ACTIVE_CONTRACT,3
Michael,Michael,temp name,470.l.84346.t.12,4,Colston Loveland,3,ACTIVE_CONTRACT,2
Michael,Michael,temp name,470.l.84346.t.12,5,Terry McLaurin,2,ACTIVE_CONTRACT,1
Michael,Michael,temp name,470.l.84346.t.12,6,Jayden Daniels,3,ACTIVE_CONTRACT,2
Michael,Michael,temp name,470.l.84346.t.12,7,Brandon Aiyuk,2,ACTIVE_CONTRACT,1
Michael,Michael,temp name,470.l.84346.t.12,12,Adam Theilen,1,EXPIRED_QO_CANDIDATE,0
Miles,Miles,AFC Richmond,470.l.84346.t.2,3,Justin Jefferson,FT,EXPIRED_FT_QO_CANDIDATE,0
Miles,Miles,AFC Richmond,470.l.84346.t.2,4,Ashton Jeanty,4,ACTIVE_CONTRACT,3
Miles,Miles,AFC Richmond,470.l.84346.t.2,5,Tee Higgins,3,ACTIVE_CONTRACT,2
Miles,Miles,AFC Richmond,470.l.84346.t.2,6,Garrett Wilson,3,ACTIVE_CONTRACT,2
Miles,Miles,AFC Richmond,470.l.84346.t.2,7,Jonathan Brooks,2,ACTIVE_CONTRACT,1
Miles,Miles,AFC Richmond,470.l.84346.t.2,9,Nick Chubb,2,ACTIVE_CONTRACT,1
Miles,Miles,AFC Richmond,470.l.84346.t.2,10,DJ Moore,2,ACTIVE_CONTRACT,1
Miles,Miles,AFC Richmond,470.l.84346.t.2,12,Kyle Pitts,1,EXPIRED_QO_CANDIDATE,0
Steady,Steady,Buccaneer Blitzkrieg,470.l.84346.t.1,3,Josh Allen,FT,EXPIRED_FT_QO_CANDIDATE,0
Steady,Steady,Buccaneer Blitzkrieg,470.l.84346.t.1,4,Nico Collins,4,ACTIVE_CONTRACT,3
Steady,Steady,Buccaneer Blitzkrieg,470.l.84346.t.1,5,Keon Coleman,3,ACTIVE_CONTRACT,2
Steady,Steady,Buccaneer Blitzkrieg,470.l.84346.t.1,6,Sam LaPorta,3,ACTIVE_CONTRACT,2
Steady,Steady,Buccaneer Blitzkrieg,470.l.84346.t.1,7,Joe Mixon,2,ACTIVE_CONTRACT,1
Steady,Steady,Buccaneer Blitzkrieg,470.l.84346.t.1,11,Michael Pittman,1,EXPIRED_QO_CANDIDATE,0
Tyler,Tyler,Salem Witches,470.l.84346.t.8,3,Ladd McConkey,4,ACTIVE_CONTRACT,3
Tyler,Tyler,Salem Witches,470.l.84346.t.8,4,Drake Maye,3,ACTIVE_CONTRACT,2
Tyler,Tyler,Salem Witches,470.l.84346.t.8,5,James Cook,2,ACTIVE_CONTRACT,1
Tyler,Tyler,Salem Witches,470.l.84346.t.8,6,Amon-Ra St. Brown,3,ACTIVE_CONTRACT,2
Tyler,Tyler,Salem Witches,470.l.84346.t.8,7,Caleb Williams,2,ACTIVE_CONTRACT,1
Tyler,Tyler,Salem Witches,470.l.84346.t.8,8,Brock Bowers,1,EXPIRED_QO_CANDIDATE,0
Tyler,Tyler,Salem Witches,470.l.84346.t.8,9,Jahmyr Gibbs,2,ACTIVE_CONTRACT,1
Tyler,Tyler,Salem Witches,470.l.84346.t.8,10,Justin Fields,1,EXPIRED_QO_CANDIDATE,0
Tyler,Tyler,Salem Witches,470.l.84346.t.8,12,Drake London,1,EXPIRED_QO_CANDIDATE,0
Victor,Victor,Fullmetal Linemen,470.l.84346.t.6,3,Kenneth Walker III,FT,EXPIRED_FT_QO_CANDIDATE,0
Victor,Victor,Fullmetal Linemen,470.l.84346.t.6,4,Tetairoa McMillan,4,ACTIVE_CONTRACT,3
Victor,Victor,Fullmetal Linemen,470.l.84346.t.6,5,Derrick Henry,3,ACTIVE_CONTRACT,2
Victor,Victor,Fullmetal Linemen,470.l.84346.t.6,6,Marvin Harrison Jr.,3,ACTIVE_CONTRACT,2
Victor,Victor,Fullmetal Linemen,470.l.84346.t.6,7,Malik Nabers,2,ACTIVE_CONTRACT,1
Victor,Victor,Fullmetal Linemen,470.l.84346.t.6,9,Trevor Lawrence,2,ACTIVE_CONTRACT,1
Victor,Victor,Fullmetal Linemen,470.l.84346.t.6,10,Josh Jacobs,1,EXPIRED_QO_CANDIDATE,0
Victor,Victor,Fullmetal Linemen,470.l.84346.t.6,12,Breece Hall,1,EXPIRED_QO_CANDIDATE,0
Zachary,Zachary,Party On Wayne,470.l.84346.t.7,3,Rashee Rice,4,ACTIVE_CONTRACT,3
Zachary,Zachary,Party On Wayne,470.l.84346.t.7,4,Jonathan Taylor,3,ACTIVE_CONTRACT,2
Zachary,Zachary,Party On Wayne,470.l.84346.t.7,5,Baker Mayfield,2,ACTIVE_CONTRACT,1
Zachary,Zachary,Party On Wayne,470.l.84346.t.7,6,Puka Nacua,3,ACTIVE_CONTRACT,2
Zachary,Zachary,Party On Wayne,470.l.84346.t.7,7,Trey McBride,2,ACTIVE_CONTRACT,1
Zachary,Zachary,Party On Wayne,470.l.84346.t.7,8,Najee Harris,1,EXPIRED_QO_CANDIDATE,0
Zachary,Zachary,Party On Wayne,470.l.84346.t.7,9,Isiah Pacheco,2,ACTIVE_CONTRACT,1
Zachary,Zachary,Party On Wayne,470.l.84346.t.7,10,Jaxon Smith-Njigba,1,EXPIRED_QO_CANDIDATE,0
Zachary,Zachary,Party On Wayne,470.l.84346.t.7,11,Jaylen Waddle,1,EXPIRED_QO_CANDIDATE,0
